1733172518|28|38|2.34|7|21
1733174331|28|37|2.38|9|21
1733176131|28|31|2.61|9|20
1733177931|28|30|2.65|9|20
1733179731|28|34|2.50|4|21
1733181531|28|35|2.46|11|20
1733183331|28|37|2.38|6|20
1733185131|28|40|2.27|9|19
1733186931|28|39|2.31|5|18
1733188731|28|47|2.00|66|77
1733190531|28|58|1.59|62|75
1733192331|29|63|1.48|60|72
1733194132|28|53|1.78|57|70
1733195932|24|59|1.22|59|70
1733197732|23|63|1.04|58|70
1733199532|23|54|1.29|58|68
1733201332|22|58|1.11|57|67
1733203132|22|64|0.95|57|65
1733204932|22|58|1.11|57|64
1733206732|21|55|1.12|55|63
1733208532|21|54|1.14|55|61
1733210332|21|54|1.14|54|61
1733212132|21|55|1.12|53|60
1733213932|21|54|1.14|53|58
1733215732|21|54|1.14|53|57
1733217532|25|64|1.14|51|56
1733219332|25|60|1.27|48|55
1733221132|25|53|1.49|49|54
1733222932|26|54|1.55|47|54
1733224732|26|61|1.31|47|54
1733226532|25|62|1.20|48|54
1733228332|25|58|1.33|47|53
1733230132|25|62|1.20|45|53
1733231932|25|64|1.14|47|53
1733233732|25|61|1.24|46|52
1733235532|26|63|1.24|45|51
1733237332|25|56|1.39|43|50
1733239132|26|62|1.28|46|50
1733240932|26|57|1.45|44|49
1733242732|25|45|1.74|45|48
1733244532|25|42|1.84|43|48
1733246332|26|46|1.82|43|47
1733248132|26|43|1.92|42|47
1733249932|26|44|1.88|43|46
1733251732|26|45|1.85|39|45
1733253532|27|46|1.93|38|45
1733255332|27|42|2.07|39|45
1733257132|27|45|1.96|38|45
1733258933|27|43|2.03|39|44
1733260733|27|44|2.00|35|44
1733262533|27|43|2.03|39|43
1733264333|27|43|2.03|38|43
1733266133|27|46|1.93|40|43
1733267933|27|46|1.93|38|42
1733269733|27|47|1.89|37|42
1733271533|27|45|1.96|38|41
1733273333|27|44|2.00|35|40
1733275133|27|44|2.00|38|40
1733276933|27|52|1.71|35|40
1733278733|28|63|1.40|37|39
1733280533|28|61|1.47|35|39
1733282333|23|63|1.04|37|40
1733284133|23|55|1.26|37|40
1733285933|22|56|1.16|39|40
1733287733|22|59|1.08|39|39
1733289533|22|62|1.00|38|39
1733291333|22|52|1.27|38|38
1733293133|22|63|0.98|39|38
1733294933|21|54|1.14|38|38
1733296733|21|61|0.97|38|37
1733298533|21|57|1.07|37|37
1733300333|21|56|1.09|37|36
1733302133|21|59|1.02|38|36
1733303934|26|61|1.31|36|34
1733305734|26|54|1.55|35|34
1733307534|26|57|1.45|35|33
1733309334|26|55|1.51|32|34
1733311134|26|54|1.55|30|33
1733312934|27|58|1.50|29|33
1733314734|26|56|1.48|30|33
1733316534|27|55|1.60|32|32
1733318334|26|51|1.65|27|32
1733320134|26|52|1.61|30|30
1733321934|26|50|1.68|27|30
1733323734|25|44|1.77|29|78
1733325534|26|49|1.71|72|67
